pitcher,player_name,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,S_ERA
607374,Nick Tropeano,375,0.11467,0.12036,-0.010400261,156,0.67308,0.67798,0.003916091,104,0.16346,0.30362,-0.058866093,0.3187,0.3072,-0.006744695,3.141026515,3.8421
607391,Chris Mazza,718,0.12953,0.10678,0.020754404,339,0.70206,0.66748,0.022190506,195,0.35385,0.35695,0.026792301,0.3386,0.3511,0.000528984,1.068263329,3.7115
607455,Anthony Banda,186,0.07527,0.09533,-0.014871382,89,0.61798,0.68051,-0.031238024,94,0.15957,0.25707,-0.034539396,0.3432,0.5766,0.015572013,-4.171079527,5.5607
607481,Aaron Bummer,208,0.11538,0.07327,0.024146333,99,0.49495,0.61741,-0.062880967,95,0.25263,0.23296,0.026319285,0.3484,0.2283,-0.008950846,-4.791910566,3.1028
607536,Kyle Freeland,1467,0.08316,0.12033,-0.02628752,648,0.64043,0.63318,0.012184955,616,0.27597,0.28059,0.027479632,0.3311,0.3734,0.002411344,2.600399482,4.7229
607555,Taylor Guilbeau,130,0.05385,0.10668,-0.020737296,65,0.6,0.64425,-0.012393068,40,0.15,0.24096,-0.007027599,0.3292,0.3458,-0.004192744,0.016172151,4.3325
607560,Ryne Harper,462,0.08442,0.1277,-0.034951337,251,0.64542,0.64347,-0.001946598,122,0.2377,0.35506,-0.048140244,0.3446,0.372,0.009131089,3.014229334,5.2618
607572,Sam Howard,455,0.15165,0.10743,0.031358124,164,0.71341,0.59548,0.079524812,280,0.31786,0.27033,0.068752744,0.332,0.3453,0.004497274,2.704166573,3.834
607625,Seth Lugo,804,0.13308,0.11708,0.015654921,376,0.65957,0.66561,-0.004904605,253,0.3083,0.34398,0.011473027,0.3382,0.3495,0.010510337,1.722433088,4.1973
607644,John Means,1039,0.11165,0.11072,0.000649136,517,0.69052,0.67634,0.001329227,434,0.28111,0.29347,0.020123168,0.3391,0.3264,-0.001791664,-0.949250754,4.0998
608032,Carlos Estevez,562,0.11388,0.11213,0.007349006,302,0.67219,0.65008,0.011011504,133,0.18797,0.29812,-0.04322415,0.3363,0.433,0.021329969,0.889946087,5.2044
608328,Chase De Jong,225,0.13333,0.13198,0.000880499,93,0.67742,0.69274,0.002611648,85,0.23529,0.32018,-0.018931369,0.3379,0.4404,0.01353966,1.155801459,4.8262
608331,Max Fried,1578,0.10773,0.10759,0.000627983,774,0.68088,0.63798,0.036017218,706,0.27904,0.27268,0.021763907,0.3401,0.2981,-0.013403213,-0.292309168,3.5916
